nodeName,package,checkable,clickable,content-desc,index,focusable,enabled,resource-id,password,bounds,focused,checked,long-clickable,progress,text,class,scrollable,selected
node , com.calm.android , false , false ,  , 2 , false , true , com.calm.android:id/scenes_carousel , false , [0;0][1080;1794] , false , false , false , 0 ,  , android.view.ViewGroup , false , false
node , com.calm.android , false , false ,  , 0 , true , true , com.calm.android:id/pager , false , [0;0][1080;1794] , false , false , false , 1 ,  , android.support.v4.view.ViewPager , true , false
node , com.calm.android , false , false ,  , 0 , false , true , com.calm.android:id/video , false , [0;0][1080;1794] , false , false , false , 2 ,  , android.view.View , false , false
node , com.calm.android , false , false ,  , 1 , false , true , com.calm.android:id/pinned_sections , false , [0;0][1080;588] , false , false , false , 3 ,  , android.view.ViewGroup , false , false
node , com.calm.android , false , false ,  , 0 , true , true ,  , false , [0;315][1080;399] , true , false , false , 4 ,  , android.support.v7.widget.RecyclerView , false , false
node , com.calm.android , false , false ,  , 0 , false , true ,  , false , [363;98][717;216] , false , false , false , 5 ,  , android.widget.ImageView , false , false
node , com.calm.android , false , false ,  , 0 , false , true ,  , false , [0;1605][1080;1794] , false , false , false , 6 ,  , android.view.ViewGroup , false , false
node , com.calm.android , false , false ,  , 0 , false , true , com.calm.android:id/icon , false , [45;1605][171;1731] , false , false , false , 7 ,  , android.widget.ImageView , false , false
node , com.calm.android , false , false ,  , 1 , false , true ,  , false , [68;1740][147;1794] , false , false , false , 8 ,  , android.view.ViewGroup , false , false
node , com.calm.android , false , false ,  , 0 , false , true , com.calm.android:id/largeLabel , false , [68;1740][147;1776] , false , false , false , 9 , Home , android.widget.TextView , false , false
node , com.calm.android , false , false ,  , 0 , false , true , com.calm.android:id/icon , false , [261;1605][387;1731] , false , false , false , 10 ,  , android.widget.ImageView , false , false
node , com.calm.android , false , false ,  , 1 , false , true ,  , false , [287;1740][360;1794] , false , false , false , 11 ,  , android.view.ViewGroup , false , false
node , com.calm.android , false , false ,  , 0 , false , true , com.calm.android:id/smallLabel , false , [287;1740][360;1776] , false , false , false , 12 , Sleep , android.widget.TextView , false , false
node , com.calm.android , false , false ,  , 0 , false , true , com.calm.android:id/icon , false , [477;1605][603;1731] , false , false , false , 13 ,  , android.widget.ImageView , false , false
node , com.calm.android , false , false ,  , 1 , false , true ,  , false , [481;1740][599;1794] , false , false , false , 14 ,  , android.view.ViewGroup , false , false
node , com.calm.android , false , false ,  , 0 , false , true , com.calm.android:id/smallLabel , false , [481;1740][599;1776] , false , false , false , 15 , Meditate , android.widget.TextView , false , false
node , com.calm.android , false , false ,  , 0 , false , true , com.calm.android:id/icon , false , [693;1605][819;1731] , false , false , false , 16 ,  , android.widget.ImageView , false , false
node , com.calm.android , false , false ,  , 1 , false , true ,  , false , [718;1740][793;1794] , false , false , false , 17 ,  , android.view.ViewGroup , false , false
node , com.calm.android , false , false ,  , 0 , false , true , com.calm.android:id/smallLabel , false , [718;1740][793;1776] , false , false , false , 18 , Music , android.widget.TextView , false , false
node , com.calm.android , false , false ,  , 0 , false , true , com.calm.android:id/icon , false , [909;1605][1035;1731] , false , false , false , 19 ,  , android.widget.ImageView , false , false
node , com.calm.android , false , false ,  , 1 , false , true ,  , false , [937;1740][1006;1794] , false , false , false , 20 ,  , android.view.ViewGroup , false , false
node , com.calm.android , false , false ,  , 0 , false , true , com.calm.android:id/smallLabel , false , [937;1740][1006;1776] , false , false , false , 21 , More , android.widget.TextView , false , false
node , com.calm.android , false , false ,  , 1 , false , true , android:id/navigationBarBackground , false , [0;0][0;0] , false , false , false , 22 ,  , android.view.View , false , false
