nodeName,package,checkable,clickable,content-desc,index,focusable,enabled,resource-id,password,NAF,bounds,focused,checked,long-clickable,progress,text,class,scrollable,selected
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true ,  , false ,  , [0;63][1080;1794] , false , false , false , 0 ,  , android.widget.ScrollView , true , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , com.progdigy.cdisplay.free:id/refresh , false ,  , [0;63][1080;1647] , false , false , false , 1 ,  , android.view.ViewGroup , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , true , true , android:id/list , false ,  , [0;63][1080;1647] , false , false , false , 2 ,  , androidx.recyclerview.widget.RecyclerView , true , false
node , com.progdigy.cdisplay.free , false , true ,  , 0 , true , true ,  , false ,  , [0;63][1080;201] , false , false , true , 3 ,  , androidx.cardview.widget.CardView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/icon , false ,  , [21;100][84;163] , false , false , false , 4 ,  , android.widget.ImageView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/title , false ,  , [126;79][1059;142] , false , false , false , 5 , Purchase Full Version , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 1 , false , true , com.progdigy.cdisplay.free:id/promoted , false ,  , [864;142][1059;185] , false , false , false , 6 , ↗ Advertising , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 1 , false , true ,  , false ,  , [0;201][1080;314] , false , false , false , 7 , Device Storage , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , true ,  , 2 , true , true ,  , false ,  , [0;314][1080;460] , false , false , true , 8 ,  , androidx.cardview.widget.CardView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/icon , false ,  , [21;355][84;418] , false , false , false , 9 ,  , android.widget.ImageView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/title , false ,  , [126;330][1059;393] , false , false , false , 10 , Internal shared storage , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 1 , false , true , android:id/summary , false ,  , [126;393][1059;444] , false , false , false , 11 , Available 5.26 GB , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , true ,  , 3 , true , true ,  , false ,  , [0;460][1080;606] , false , false , true , 12 ,  , androidx.cardview.widget.CardView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/icon , false ,  , [21;501][84;564] , false , false , false , 13 ,  , android.widget.ImageView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/title , false ,  , [126;476][1059;539] , false , false , false , 14 , SDCARD , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 1 , false , true , android:id/summary , false ,  , [126;539][1059;590] , false , false , false , 15 , Available 535 MB , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 4 , false , true ,  , false ,  , [0;606][1080;719] , false , false , false , 16 , Locations , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , true ,  , 5 , true , true ,  , false ,  , [0;719][1080;918] , false , false , true , 17 ,  , androidx.cardview.widget.CardView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/icon , false ,  , [21;787][84;850] , false , false , false , 18 ,  , android.widget.ImageView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/title , false ,  , [126;787][1059;850] , false , false , false , 19 , Comics , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 1 , false , true , com.progdigy.cdisplay.free:id/tags , false ,  , [1001;834][1080;918] , false , false , false , 20 ,  , android.view.ViewGroup , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , true , true ,  , false ,  , [1001;834][1080;897] , false , false , false , 21 ,  , android.view.View , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 6 , false , true ,  , false ,  , [0;918][1080;1031] , false , false , false , 22 , Library , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , true ,  , 7 , true , true ,  , false ,  , [0;1031][1080;1167] , false , false , true , 23 ,  , androidx.cardview.widget.CardView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/icon , false ,  , [21;1067][84;1130] , false , false , false , 24 ,  , android.widget.ImageView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/title , false ,  , [126;1067][1059;1130] , false , false , false , 25 , Reading , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , true ,  , 8 , true , true ,  , false ,  , [0;1167][1080;1303] , false , false , true , 26 ,  , androidx.cardview.widget.CardView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/icon , false ,  , [21;1203][84;1266] , false , false , false , 27 ,  , android.widget.ImageView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/title , false ,  , [126;1203][1059;1266] , false , false , false , 28 , Series , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , true ,  , 9 , true , true ,  , false ,  , [0;1303][1080;1439] , false , false , true , 29 ,  , androidx.cardview.widget.CardView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/icon , false ,  , [21;1339][84;1402] , false , false , false , 30 ,  , android.widget.ImageView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/title , false ,  , [126;1339][1059;1402] , false , false , false , 31 , Folders , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , true ,  , 10 , true , true ,  , false ,  , [0;1439][1080;1575] , false , false , true , 32 ,  , androidx.cardview.widget.CardView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/icon , false ,  , [21;1475][84;1538] , false , false , false , 33 ,  , android.widget.ImageView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/title , false ,  , [126;1475][1059;1538] , false , false , false , 34 , Read , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , true ,  , 11 , true , true ,  , false ,  , [0;1575][1080;1647] , false , false , true , 35 ,  , androidx.cardview.widget.CardView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/icon , false ,  , [21;1611][84;1647] , false , false , false , 36 ,  , android.widget.ImageView , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 0 , false , true , android:id/title , false ,  , [126;1611][1059;1647] , false , false , false , 37 , Unread , android.widget.TextView , false , false
node , com.progdigy.cdisplay.free , false , true ,  , 2 , true , true , com.progdigy.cdisplay.free:id/floatingActionButton , true , false , [901;1463][1048;1610] , false , false , false , 38 ,  , android.widget.ImageButton , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 3 , false , true , com.progdigy.cdisplay.free:id/bottomappbar , false ,  , [0;1647][1080;1794] , false , false , false , 39 ,  , android.view.ViewGroup , false , false
node , com.progdigy.cdisplay.free , false , true , Navigate up , 0 , true , true ,  , false ,  , [0;1647][147;1794] , false , false , false , 40 ,  , android.widget.ImageButton , false , false
node , com.progdigy.cdisplay.free , false , true , Search , 0 , true , true , com.progdigy.cdisplay.free:id/search_button , false ,  , [826;1657][953;1783] , false , false , false , 41 ,  , android.widget.ImageView , false , false
node , com.progdigy.cdisplay.free , false , true , Settings , 1 , true , true ,  , false ,  , [953;1657][1080;1783] , false , false , false , 42 ,  , android.widget.Button , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 1 , false , true , android:id/statusBarBackground , false ,  , [0;0][1080;63] , false , false , false , 43 ,  , android.view.View , false , false
node , com.progdigy.cdisplay.free , false , false ,  , 2 , false , true , android:id/navigationBarBackground , false ,  , [0;0][0;0] , false , false , false , 44 ,  , android.view.View , false , false
