package,checkable,clickable,content-desc,index,focusable,enabled,resource-id,password,NAF,bounds,focused,checked,long-clickable,progress,text,class,scrollable,selected
com.pinterest,false,false,,1,false,true,com.pinterest:id/coordinator,false,,[0;72][1080;1776],false,false,false,0,,android.view.ViewGroup,false,false
com.pinterest,false,false,,0,false,true,,false,,[0;72][1080;1776],false,false,false,1,,android.view.ViewGroup,false,false
com.pinterest,false,false,,0,true,true,com.pinterest:id/multi_tab_home_tab_bar,false,,[48;84][500;228],false,false,false,2,,android.widget.HorizontalScrollView,false,false
com.pinterest,false,true,,0,true,true,,false,,[48;84][222;228],false,false,false,3,,androidx.appcompat.app.ActionBar$b,false,true
com.pinterest,false,false,,0,false,true,,false,,[71;84][199;228],false,false,false,4,All,android.widget.TextView,false,true
com.pinterest,false,true,,1,true,true,,false,,[222;84][500;228],false,false,false,5,,androidx.appcompat.app.ActionBar$b,false,false
com.pinterest,false,false,,0,false,true,,false,,[222;84][500;228],false,false,false,6,Following,android.widget.TextView,false,false
com.pinterest,false,false,,1,true,true,,false,,[0;240][1080;1776],false,false,false,7,,androidx.viewpager.widget.ViewPager,true,false
com.pinterest,false,false,,0,false,true,com.pinterest:id/dynamic_home_container,false,,[0;240][1080;1776],false,false,false,8,,android.view.ViewGroup,false,false
com.pinterest,false,false,,0,false,true,com.pinterest:id/homefeed_swipe_container,false,,[0;240][1080;1776],false,false,false,9,,android.view.ViewGroup,false,false
com.pinterest,false,true,,0,true,true,com.pinterest:id/recycler_adapter_view,false,,[0;240][1080;1776],false,false,false,10,,androidx.recyclerview.widget.RecyclerView,true,false
com.pinterest,false,true,Pin from www.pinterest.ca,0,true,true,,false,,[24;252][528;838],false,false,false,11,,android.view.View,false,false
com.pinterest,false,true,Pin; Title: Room inspiration,1,true,true,,false,,[24;862][528;1776],false,false,false,12,,android.view.View,false,false
com.pinterest,false,true,Pin from sumrot.tumblr.com,2,true,true,,false,,[552;252][1056;1230],false,false,false,13,,android.view.View,false,false
com.pinterest,false,true,Pin from niquelesclones.tumblr.com,3,true,true,,false,,[552;1254][1056;1776],false,false,false,14,,android.view.View,false,false
com.pinterest,false,false,,0,false,true,com.pinterest:id/tab_icon,false,,[188;1562][260;1634],false,false,false,15,,android.widget.ImageView,false,true
com.pinterest,false,false,,1,false,true,com.pinterest:id/tab_label,false,,[163;1640][285;1689],false,false,false,16,Home,android.widget.TextView,false,true
com.pinterest,false,false,,0,false,true,com.pinterest:id/tab_icon,false,,[364;1562][436;1634],false,false,false,17,,android.widget.ImageView,false,false
com.pinterest,false,false,,1,false,true,com.pinterest:id/tab_label,false,,[333;1640][468;1689],false,false,false,18,Search,android.widget.TextView,false,false
com.pinterest,false,false,,0,false,true,com.pinterest:id/tab_icon,false,,[596;1562][668;1634],false,false,false,19,,android.widget.ImageView,false,false
com.pinterest,false,false,,1,false,true,com.pinterest:id/tab_label,false,,[516;1640][748;1689],false,false,false,20,Notifications,android.widget.TextView,false,false
com.pinterest,false,false,,0,false,true,com.pinterest:id/tab_icon,false,,[820;1562][892;1634],false,false,false,21,,android.widget.ImageView,false,false
com.pinterest,false,false,,1,false,true,com.pinterest:id/tab_label,false,,[796;1640][917;1689],false,false,false,22,Saved,android.widget.TextView,false,false
com.pinterest,false,false,,1,false,true,android:id/statusBarBackground,false,,[0;0][1080;72],false,false,false,23,,android.view.View,false,false
com.pinterest,false,false,,2,false,true,android:id/navigationBarBackground,false,,[0;0][0;0],false,false,false,24,,android.view.View,false,false
