nodeName,package,checkable,clickable,content-desc,index,focusable,enabled,resource-id,password,NAF,bounds,focused,checked,long-clickable,progress,text,class,scrollable,selected
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true , com.sirma.mobile.bible.android:id/main_content , false ,  , [0;0][1080;1794] , false , false , false , 0 ,  , android.view.ViewGroup , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true , com.sirma.mobile.bible.android:id/toolbar , false ,  , [0;0][1080;147] , false , false , false , 1 ,  , android.view.ViewGroup , false , false
node , com.sirma.mobile.bible.android , false , false , YouVersion , 0 , false , true , com.sirma.mobile.bible.android:id/logo , false ,  , [42;52][349;94] , false , false , false , 2 ,  , android.widget.ImageView , false , false
node , com.sirma.mobile.bible.android , false , true , Profile , 0 , true , true , com.sirma.mobile.bible.android:id/action_profile_logged_out , false ,  , [953;10][1080;136] , false , false , false , 3 ,  , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true ,  , false ,  , [0;147][1080;1794] , false , false , false , 4 ,  , android.view.ViewGroup , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , false , com.sirma.mobile.bible.android:id/swipe_refresh_layout , false ,  , [0;147][1080;1794] , false , false , false , 5 ,  , android.view.ViewGroup , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true ,  , false ,  , [0;147][1080;1794] , false , false , false , 6 ,  , android.view.ViewGroup , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true , com.sirma.mobile.bible.android:id/refresh , false ,  , [0;147][1080;1794] , false , false , false , 7 ,  , android.view.ViewGroup , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , true , true , com.sirma.mobile.bible.android:id/moments , false ,  , [0;147][1080;1794] , false , false , false , 8 ,  , androidx.recyclerview.widget.RecyclerView , true , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true , com.sirma.mobile.bible.android:id/title , false ,  , [60;202][917;259] , false , false , false , 9 , Bible App Activity , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true ,  , false ,  , [917;202][1020;261] , false , false , false , 10 , MORE , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true ,  , false ,  , [60;303][1020;421] , false , false , false , 11 ,  , android.view.ViewGroup , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true , com.sirma.mobile.bible.android:id/streak_label , false ,  , [60;303][166;354] , false , false , false , 12 , Streak , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true , com.sirma.mobile.bible.android:id/currentTextView , false ,  , [60;354][88;421] , false , false , false , 13 , 1 , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true , com.sirma.mobile.bible.android:id/nextTextView , false ,  , [60;354][88;421] , false , false , false , 14 , 1 , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true , com.sirma.mobile.bible.android:id/streak_color , false ,  , [101;364][125;411] , false , false , false , 15 ,  , android.widget.ImageView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true , com.sirma.mobile.bible.android:id/perfect_weeks_label , false ,  , [211;303][451;354] , false , false , false , 16 , Perfect Weeks , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true , com.sirma.mobile.bible.android:id/currentTextView , false ,  , [211;354][239;421] , false , false , false , 17 , 0 , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true , com.sirma.mobile.bible.android:id/perfect_weeks_color , false ,  , [252;368][291;407] , false , false , false , 18 ,  , android.widget.ImageView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 2 , false , true ,  , false ,  , [60;453][1020;456] , false , false , false , 19 ,  , android.view.View , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 3 , false , true , com.sirma.mobile.bible.android:id/total_days_title , false ,  , [60;499][1020;542] , false , false , false , 20 , 1 day in the app this year , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true ,  , false ,  , [60;678][144;762] , false , false , false , 21 ,  , android.widget.ImageView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true ,  , false ,  , [176;663][481;720] , false , false , false , 22 , Verse of the Day , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true , com.sirma.mobile.bible.android:id/verse_reference , false ,  , [176;720][479;777] , false , false , false , 23 , Esther 4:14 KJV , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true , com.sirma.mobile.bible.android:id/verse , false ,  , [60;819][1020;996] , false , false , false , 24 , 14 For if thou altogether holdest thy peace at this time; then shall there enlargement and deliverance arise to the Jews from another place; but thou and thy father's house shall be destroyed: and who knoweth whether thou art come to the kingdom for such a time as this? , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , true ,  , 0 , true , true , com.sirma.mobile.bible.android:id/view_all , false ,  , [18;1002][264;1137] , false , false , false , 25 , VIEW ALL , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , true ,  , 1 , true , true , com.sirma.mobile.bible.android:id/btn_share , true , false , [621;996][768;1143] , false , false , false , 26 ,  , android.widget.ImageButton , false , false
node , com.sirma.mobile.bible.android , false , true ,  , 2 , true , true , com.sirma.mobile.bible.android:id/btn_votd_image , true , false , [768;996][915;1143] , false , false , false , 27 ,  , android.widget.ImageButton , false , false
node , com.sirma.mobile.bible.android , false , true , More , 3 , true , true , com.sirma.mobile.bible.android:id/btn_more , false ,  , [915;996][1062;1143] , false , false , false , 28 ,  , android.widget.ImageButton , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true , com.sirma.mobile.bible.android:id/plan_finder_image_view , false ,  , [60;1211][1020;1390] , false , false , false , 29 ,  , android.widget.ImageView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true ,  , false ,  , [60;1211][1020;1390] , false , false , false , 30 , HELP ME FIND A PLAN , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true , com.sirma.mobile.bible.android:id/plan_finder_description , false ,  , [18;1432][1062;1549] , false , false , false , 31 , Plans help you explore biblical truth; reflect on it; and apply it to your life. , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 2 , false , true , com.sirma.mobile.bible.android:id/btn_plan_finder , false ,  , [18;1549][321;1684] , false , false , false , 32 , YES; PLEASE , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true ,  , false ,  , [60;1752][123;1794] , false , false , false , 33 ,  , android.widget.ImageView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true ,  , false ,  , [155;1755][955;1794] , false , false , false , 34 , Verse of the Day Image , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 2 , false , true , com.sirma.mobile.bible.android:id/time , false ,  , [955;1752][1020;1794] , false , false , false , 35 , Now , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true , com.sirma.mobile.bible.android:id/body_image , false ,  , [0;0][0;0] , false , false , false , 36 ,  , android.widget.ImageView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 0 , false , true ,  , false ,  , [0;1757][1080;1773] , false , false , false , 37 ,  , android.widget.ImageView , false , false
node , com.sirma.mobile.bible.android , false , false , Home , 0 , false , true , com.sirma.mobile.bible.android:id/image , false ,  , [76;1793][139;1794] , false , false , false , 38 ,  , android.widget.ImageView , false , true
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true , com.sirma.mobile.bible.android:id/text , false ,  , [0;0][0;0] , false , false , false , 39 , Home , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false , Read , 0 , false , true , com.sirma.mobile.bible.android:id/image , false ,  , [292;1793][355;1794] , false , false , false , 40 ,  , android.widget.ImageView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true , com.sirma.mobile.bible.android:id/text , false ,  , [0;0][0;0] , false , false , false , 41 , Read , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false , Plans , 0 , false , true , com.sirma.mobile.bible.android:id/image , false ,  , [508;1793][571;1794] , false , false , false , 42 ,  , android.widget.ImageView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true , com.sirma.mobile.bible.android:id/text , false ,  , [0;0][0;0] , false , false , false , 43 , Plans , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false , Search , 0 , false , true , com.sirma.mobile.bible.android:id/btn_search_tab , false ,  , [724;1793][787;1794] , false , false , false , 44 ,  , android.widget.ImageView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true , com.sirma.mobile.bible.android:id/text , false ,  , [0;0][0;0] , false , false , false , 45 , Search , android.widget.TextView , false , false
node , com.sirma.mobile.bible.android , false , false , More , 0 , false , true , com.sirma.mobile.bible.android:id/image , false ,  , [940;1793][1003;1794] , false , false , false , 46 ,  , android.widget.ImageView , false , false
node , com.sirma.mobile.bible.android , false , false ,  , 1 , false , true , com.sirma.mobile.bible.android:id/text , false ,  , [0;0][0;0] , false , false , false , 47 , More , android.widget.TextView , false , false
